text,lang,text_en
"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",en,"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters"
"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",en,"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica"
LAC tensions: China's strategy behind deliberately failing talks with India,en,LAC tensions: China's strategy behind deliberately failing talks with India
India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,en,India has signed 250 documents on Space cooperation with 59 countries: ISRO chief
Tamil Nadu chief minister's mother passes away at 93,en,Tamil Nadu chief minister's mother passes away at 93
Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur,en,Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur
"Hathras case: CBI reaches victim's village, visits crime scene",en,"Hathras case: CBI reaches victim's village, visits crime scene"
"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",en,"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody"
"Mumbai: BMC to book, penalise people stepping out without face masks",en,"Mumbai: BMC to book, penalise people stepping out without face masks"
"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",en,"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh"
"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",en,"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'"
Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,en,Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates
PM Modi releases Balasaheb Vikhe Patil's autobiography,en,PM Modi releases Balasaheb Vikhe Patil's autobiography
"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",en,"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale"
Mumbai power outage: Fire reported in hospital,en,Mumbai power outage: Fire reported in hospital
"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095",en,"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095"
Indian exports to Armenia increased three-fold in past three years,en,Indian exports to Armenia increased three-fold in past three years
"7 Indian hostages freed in Libya, all in good health: MEA",en,"7 Indian hostages freed in Libya, all in good health: MEA"
"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",en,"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone"
Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,en,Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces
"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",en,"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray"
"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",en,"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe"
Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,en,Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician
Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,en,Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours
"Mumbai suffers major power outage, local train services affected",en,"Mumbai suffers major power outage, local train services affected"
"India, China to hold 7th Corps Commander-level talks today at Chushul",en,"India, China to hold 7th Corps Commander-level talks today at Chushul"
"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",en,"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students"
"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",en,"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns"
Seven Indians kidnapped in Libya in September released,en,Seven Indians kidnapped in Libya in September released
"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",en,"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court"
Delhi government exempts road tax for battery operated vehicles,en,Delhi government exempts road tax for battery operated vehicles
"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",en,"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions"
"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",en,"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list"
Andhra govt complains to CJI against alleged intervention by sitting SC judge,en,Andhra govt complains to CJI against alleged intervention by sitting SC judge
"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",en,"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly"
Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,en,Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains
"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",en,"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30"
"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",en,"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer"
"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad",en,"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad"
BJP releases list of candidates for by-elections in 5 states,en,BJP releases list of candidates for by-elections in 5 states
'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic,en,'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic
Congress woman leader beaten up by party workers for questioning decision to field 'rapist',en,Congress woman leader beaten up by party workers for questioning decision to field 'rapist'
SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know,en,SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know
CBI registers FIR against accused in Hathras gang-rape case; takes over investigation,en,CBI registers FIR against accused in Hathras gang-rape case; takes over investigation
'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage,en,'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage
"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates",en,"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates"
SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11,en,SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11
Assam: Kamakhya temple to open for devotees from today,en,Assam: Kamakhya temple to open for devotees from today
"Hathras gang-rape case transferred to CBI, FIR to be filed soon",en,"Hathras gang-rape case transferred to CBI, FIR to be filed soon"
Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,en,Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma
"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here",en,"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here"
Bihar Assembly Election 2020: Congress releases list of 30-star campaigners,en,Bihar Assembly Election 2020: Congress releases list of 30-star campaigners
Last rites of Ram Vilas Paswan performed in Patna with full state honours,en,Last rites of Ram Vilas Paswan performed in Patna with full state honours
"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in",en,"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in"
"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",en,"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989"
Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda,en,Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda
"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10",en,"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10"
EC issues revised guidelines for upcoming polls; limits number of star campaigners,en,EC issues revised guidelines for upcoming polls; limits number of star campaigners
Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas,en,Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas
Last rites of Ram Vilas Paswan to take place in Patna today with full state honours,en,Last rites of Ram Vilas Paswan to take place in Patna today with full state honours
"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10",en,"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10"
"DNA Special: How adulterated vegetables are affecting our health, well-being",en,"DNA Special: How adulterated vegetables are affecting our health, well-being"
Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel,en,Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel
"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow",en,"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow"
More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,en,More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official
"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam",en,"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam"
