entity,count
BJP,3539
Congress,2342
Delhi,2036
COVID-19,1305
China,1190
Rahul Gandhi,1050
Pakistan,1008
Bihar,952
Mumbai,814
Kashmir,763
Covid,728
Modi,724
Kerala,722
Centre,675
PM Modi,664
Coronavirus,626
Rajasthan,577
CBI,502
Karnataka,442
Gujarat,437
Narendra Modi,424
Haryana,392
Bengal,369
RSS,356
West Bengal,356
Hyderabad,351
Uttar Pradesh,330
J&K,329
Supreme Court,311
Fact Check,310
Army,305
Telangana,302
Lok Sabha,287
Corona,260
Ladakh,256
RBI,242
JNU,239
Sonia Gandhi,238
CAA,238
Mamata,233
Jammu,230
Parliament,229
Gandhi,227
Bangladesh,209
Rajya Sabha,203
Yogi Adityanath,202
COVID,199
Kolkata,197
Cong,196
WhatsApp,190
Assam,189
Rajnath Singh,188
Odisha,187
Madhya Pradesh,186
Uttarakhand,186
Maharashtra,180
Tamil Nadu,177
Arvind Kejriwal,176
Hathras,167
Amit Shah,160
NRC,158
Yogi,157
DonÕt,157
Bengaluru,156
Nepal,155
Twitter,153
Khan,153
Indian Army,152
Kejriwal,151
Jharkhand,150
NDA,143
Trump,143
Uddhav Thackeray,140
Dalit,138
Jaishankar,137
Russia,135
London,131
Ayodhya,131
Shiv Sena,129
Kashmiri,125
Pak,125
Sushant Singh Rajput,124
FIR,122
TMC,120
France,120
IAF,119
Ram,119
Donald Trump,117
NIA,112
AIIMS,112
Shaheen Bagh,111
Andhra,110
Nirmala Sitharaman,110
Australia,108
Japan,107
Kangana Ranaut,107
FactCheck,107
Mamata Banerjee,106
MEA,105
Delhi Police,105
Bill Gates,104
Bangalore,104
MLA,102
Dubai,100
Lucknow,99
J-K,99
NCP,99
the Supreme Court,98
Sikh,98
Srinagar,97
Italy,97
Andhra Pradesh,96
IMD,96
The Supreme Court,95
Mayawati,94
Air India,93
Health Ministry,92
Assembly,90
Amarinder Singh,88
BSF,88
IIT,88
Iran,87
Manmohan Singh,87
Chennai,86
Chhattisgarh,84
PIL,84
Nirbhaya,82
IndiaÕs,81
NCB,81
Rhea Chakraborty,80
IAS,80
Galwan,80
Wayanad,80
Germany,79
Kanpur,79
Kangana,78
IPS,78
Bhushan,77
Sachin Pilot,77
Imran Khan,77
CNN,77
The Union Government,77
Bollywood,76
Bill,75
Delhi HC,75
the United States,74
Nitish Kumar,73
Sri Lanka,73
Sanjay Raut,72
Varanasi,72
Kashmiris,72
Saudi Arabia,72
Noida,70
Jyotiraditya Scindia,70
Manipur,70
New Zealand,70
Israel,69
Priyanka Gandhi,69
Cabinet,68
Sharad Pawar,68
DMK,67
Chidambaram,67
Wuhan,67
Diwali,66
PDP,66
JD(U,66
Naidu,66
Jaipur,66
Amitabh Bachchan,66
MSP,65
Singh,65
Kapil Sibal,65
Bharat Bandh,64
Islam,64
Rahul,63
RJD,63
Akhilesh Yadav,63
Tamil,63
CCTV,62
Abhinandan,62
NASA,62
Alert,62
Brazil,61
Indira Gandhi,61
JP Nadda,60
Navy,60
ABVP,60
Karachi,60
Arnab Goswami,59
LJP,58
Ghaziabad,58
Rajiv Gandhi,58
Bank,58
Google,58
Ram Mandir,58
Harsh Vardhan,57
JEE,57
Tejashwi Yadav,57
Scindia,57
Owaisi,57
Farmers,56
Sabarimala,56
Mehbooba Mufti,55
Goa,55
Canada,55
Kamal Nath,55
BMC,54
CJI,54
Afghanistan,54
LoC,54
Nitish,53
Maharashtra CM,53
Shashi Tharoor,53
NPR,53
Joe Biden,53
House,52
Hindi,52
ISIS,52
Nitin Gadkari,52
ISRO,52
Yediyurappa,52
Asaduddin Owaisi,52
Modiï¿1⁄2s,52
UAE,51
Mahatma Gandhi,51
Pune,51
Javadekar,51
Ravi Shankar Prasad,51
CAB,51
Tejashwi,50
Galwan Valley,50
ICMR,50
Mohan Bhagwat,50
Spain,49
CBSE,49
Venkaiah Naidu,49
Ahmedabad,49
Independence Day,48
Smriti Irani,48
Amazon,48
South Africa,48
Aamir Khan,48
Tricolour,48
farmers,48
Sitharaman,47
Mehbooba,47
Jamia,47
Ambedkar,47
Kovind,46
NEET,46
Sonia,46
CRPF,46
Nirav Modi,46
Manoj Tiwari,46
Arun Jaitley,46
Indian Railways,45
Chirag Paswan,45
Taliban,45
Dilip Ghosh,45
Farooq Abdullah,45
BJP MLA,44
Tablighi Jamaat,44
the Indian Army,44
U.S,44
UNSC,43
BSP,43
Omar Abdullah,43
UGC,43
Nagpur,43
Raghuram Rajan,43
Nehru,43
Union Home,43
Netizens,43
Bharatiya Janata Party,43
Republic TV,42
TRP,42
Delhi High Court,42
Sambit Patra,42
VHP,41
Hong Kong,41
Bhutan,41
DDC,41
Jagan,40
PPE,40
Bihar CM,40
Ram Vilas Paswan,39
Taiwan,39
SIT,39
Babri,39
Meerut,39
CPM,39
Ghulam Nabi Azad,39
Devendra Fadnavis,39
IMA,39
Meghalaya,39
Obama,39
Gandhi Vadra,39
the Union Government,39
Patna,38
Indian Air Force,38
Kapil Mishra,38
Kamala Harris,38
Virat Kohli,37
Oppn,37
PLA,37
Kannada,37
Sushant,37
Boris Johnson,37
Mexico,37
Aadhaar,36
NHRC,36
Ganga,36
Beijing,36
Gorakhpur,36
Biden,36
Sisodia,36
Maldives,36
Home,36
Mukesh Ambani,36
KCR,36
Sushant Singh Rajput's,36
Malaysia,36
Kanhaiya Kumar,36
AIADMK,35
Jodhpur,35
Ram Nath Kovind,35
Aaditya Thackeray,35
Shah,35
Savarkar,35
Tomar,35
Media,35
Syria,35
Rahul GandhiÕs,35
Ratan Tata,35
Sachin Tendulkar,35
